Chemical_name	Target_gene	Target_gene_entrez_id	Source	RadiationDB_target gene_annotation
Belinostat	HDAC2	3066	Drugbank	Experiment
Belinostat	HDAC8	55869	Drugbank	-
Belinostat	HDAC11	79885	Drugbank	-
Belinostat	HDAC6	10013	Drugbank	Experiment
Belinostat	HDAC9	9734	Drugbank	Experiment
Belinostat	HDAC3	8841	Drugbank	-
Grn163l	PTGES3	10728	Drugbank	-
Grn163l	TERT	7015	Drugbank	Experiment
Grn163l	SCYL1	57410	Drugbank	-
Grn163l	SMG6	23293	Drugbank	-
Tanespimycin	HSP90AB1	3326	Drugbank	-
Tanespimycin	HSP90AA1	3320	Drugbank	Experiment
LY2181308	BIRC5	332	Drugbank	Experiment
Alisertib	AURKA	6790	Drugbank	Experiment
Vandetanib	PTK6	5753	Drugbank	-
Vandetanib	EGFR	1956	Drugbank	Experiment
Vandetanib	VEGFA	7422	Drugbank	Experiment
Vandetanib	RET	5979	Drugbank	-
Vandetanib	TEK	7010	Drugbank	-
Histamine	HRH1	3269	Drugbank	Prediction
Histamine	HRH4	59340	Drugbank	-
Histamine	HRH2	3274	Drugbank	-
Histamine	HRH3	11255	Drugbank	-
Histamine	SLC18A2	6571	Drugbank	-
Andrographolide	IL6	3569	Drugbank	Experiment
Andrographolide	IL1B	3553	Drugbank	Prediction
Andrographolide	NFKB2	4791	Drugbank	-
Andrographolide	TNF	7124	Drugbank	Experiment
Andrographolide	NFKB1	4790	Drugbank	Experiment
SNX-5422	HSP90AB1	3326	Drugbank	-
SNX-5422	HSP90AA1	3320	Drugbank	Experiment
Linsitinib	IGF1R	3480	Drugbank	Experiment
Linsitinib	INSR	3643	Drugbank	-
Linifanib	CSF1R	1436	Drugbank	-
Linifanib	KDR	3791	Drugbank	Experiment
Linifanib	FLT1	2321	Drugbank	Experiment
Linifanib	FLT4	2324	Drugbank	-
Linifanib	FLT3	2322	Drugbank	Experiment
Linifanib	KIT	3815	Drugbank	-
PX-478	HIF1A	3091	Drugbank	Experiment
Lonidamine	KCNA4	3739	Drugbank	-
Lonidamine	CFTR	1080	Drugbank	-
Temsirolimus	MTOR	2475	Drugbank	Experiment
Bazedoxifene	ESR2	2100	Drugbank	-
Bazedoxifene	ESR1	2099	Drugbank	Experiment
Semaxanib	KDR	3791	Drugbank	Experiment
Astaxanthin	NFKBIA	4792	Drugbank	Experiment
Panobinostat	HDAC5	10014	Drugbank	-
Panobinostat	HDAC7	51564	Drugbank	-
Panobinostat	HDAC4	9759	Drugbank	Experiment
Panobinostat	HDAC10	83933	Drugbank	-
Panobinostat	HDAC1	3065	Drugbank	Experiment
Panobinostat	HDAC2	3066	Drugbank	Experiment
Panobinostat	HDAC8	55869	Drugbank	-
Panobinostat	HDAC11	79885	Drugbank	-
Panobinostat	HDAC6	10013	Drugbank	Experiment
Panobinostat	HDAC9	9734	Drugbank	Experiment
Panobinostat	HDAC3	8841	Drugbank	-
Bosutinib	BCR	613	Drugbank	-
Bosutinib	MAP3K2	10746	Drugbank	-
Bosutinib	ABL1	25	Drugbank	Prediction
Bosutinib	MAP2K2	5605	Drugbank	Experiment
Bosutinib	HCK	3055	Drugbank	-
Bosutinib	SRC	6714	Drugbank	Experiment
Bosutinib	CAMK2G	818	Drugbank	Prediction
Bosutinib	MAP2K1	5604	Drugbank	Experiment
Bosutinib	CDK2	1017	Drugbank	Experiment
Bosutinib	LYN	4067	Drugbank	-
Perifosine	PRKCA	5578	Drugbank	Experiment
Perifosine	MAPK1	5594	Drugbank	Prediction
Perifosine	AKT1	207	Drugbank	Experiment
Bafilomycin A1	ATP6V1A	523	Drugbank	-
Cabazitaxel	TUBB1	81027	Drugbank	-
Cabazitaxel	TUBA4A	7277	Drugbank	-
Plerixafor	CXCR4	7852	Drugbank	Experiment
Bisphenol A	ESRRG	2104	Drugbank	-
Veliparib	PARP1	142	Drugbank	Experiment
Veliparib	PARP2	10038	Drugbank	-
Emodin	CSNK2A2	1459	Drugbank	Experiment
Emodin	AHR	196	Drugbank	-
Fisetin	CDK6	1021	Drugbank	Experiment
Wortmannin	PIK3CA	5290	Drugbank	Experiment
Wortmannin	PIK3R1	5295	Drugbank	-
Wortmannin	PLK1	5347	Drugbank	Experiment
Wortmannin	PIK3CG	5294	Drugbank	-
Latrunculin B	MRTFA	57591	Drugbank	-
Latrunculin B	SPIRE2	84501	Drugbank	-
Latrunculin B	ACTA1	58	Drugbank	-
Parecoxib	PTGS2	5743	Drugbank	Experiment
Parecoxib	LTF	4057	Drugbank	Experiment
Dichlororibofuranosylbenzimidazole	CSNK2A2	1459	Drugbank	Experiment
Quinalizarin	CSNK2A2	1459	Drugbank	Experiment
Dichloroacetic acid	GSTZ1	2954	Drugbank	-
Dichloroacetic acid	PDPK1	5170	Drugbank	Experiment
Vismodegib	SMOX	54498	Drugbank	Experiment
Pitavastatin	ITGAL	3683	Drugbank	-
Pitavastatin	HMGCR	3156	Drugbank	-
Crizotinib	MET	4233	Drugbank	Experiment
Crizotinib	ALK	238	Drugbank	Experiment
Fingolimod	S1PR5	53637	Drugbank	-
Fingolimod	S1PR4	8698	Drugbank	-
Fingolimod	S1PR1	1901	Drugbank	-
Fingolimod	S1PR3	1903	Drugbank	-
Fingolimod	HDAC1	3065	Drugbank	Experiment
Vemurafenib	BRAF	673	Drugbank	Experiment
Regorafenib	EPHA2	1969	Drugbank	Experiment
Regorafenib	FGFR2	2263	Drugbank	Experiment
Regorafenib	MAPK11	5600	Drugbank	-
Regorafenib	NTRK1	4914	Drugbank	-
Regorafenib	DDR2	4921	Drugbank	-
Regorafenib	ABL1	25	Drugbank	Prediction
Regorafenib	FRK	2444	Drugbank	-
Regorafenib	PDGFRB	5159	Drugbank	Experiment
Regorafenib	PDGFRA	5156	Drugbank	-
Regorafenib	KDR	3791	Drugbank	Experiment
Regorafenib	RET	5979	Drugbank	-
Regorafenib	FLT4	2324	Drugbank	-
Regorafenib	RNASE3	6037	Drugbank	Prediction
Regorafenib	FGFR1	2260	Drugbank	Experiment
Regorafenib	BRAF	673	Drugbank	Experiment
Regorafenib	TEK	7010	Drugbank	-
Regorafenib	FLT1	2321	Drugbank	Experiment
Regorafenib	KIT	3815	Drugbank	-
Enzalutamide	AR	367	Drugbank	Experiment
Ponatinib	FGFR2	2263	Drugbank	Experiment
Ponatinib	BCR	613	Drugbank	-
Ponatinib	ABL1	25	Drugbank	Prediction
Ponatinib	FGFR3	2261	Drugbank	Experiment
Ponatinib	KDR	3791	Drugbank	Experiment
Ponatinib	PDGFRA	5156	Drugbank	-
Ponatinib	SRC	6714	Drugbank	Experiment
Ponatinib	KIT	3815	Drugbank	-
Ponatinib	FGFR4	2264	Drugbank	-
Ponatinib	FGFR1	2260	Drugbank	Experiment
Ponatinib	LCK	3932	Drugbank	-
Ponatinib	TEK	7010	Drugbank	-
Ponatinib	FLT3	2322	Drugbank	Experiment
Ponatinib	LYN	4067	Drugbank	-
Ponatinib	RET	5979	Drugbank	-
Afatinib	EGFR	1956	Drugbank	Experiment
Afatinib	ERBB2	2064	Drugbank	Experiment
Afatinib	ERBB4	2066	Drugbank	-
Ibrutinib	BTK	695	Drugbank	Prediction
Cannabidiol	CYP3A7	1551	Drugbank	-
Cannabidiol	CYP2D6	1565	Drugbank	-
Cannabidiol	HTR2A	3356	Drugbank	-
Cannabidiol	IDO1	3620	Drugbank	Experiment
Cannabidiol	OPRM1	4988	Drugbank	-
Cannabidiol	HMGCR	3156	Drugbank	-
Cannabidiol	HTR3A	3359	Drugbank	-
Cannabidiol	NAAA	27163	Drugbank	-
Cannabidiol	NQO1	1728	Drugbank	Experiment
Cannabidiol	GPR12	2835	Drugbank	-
Cannabidiol	CACNA1H	8912	Drugbank	-
Cannabidiol	CYP1A2	1544	Drugbank	-
Cannabidiol	AANAT	15	Drugbank	-
Cannabidiol	PTGS1	5742	Drugbank	Experiment
Cannabidiol	CACNA1I	8911	Drugbank	-
Cannabidiol	CYP1B1	1545	Drugbank	-
Cannabidiol	CACNA1G	8913	Drugbank	-
Cannabidiol	ADORA1	134	Drugbank	-
Cannabidiol	SOAT1	6646	Drugbank	-
Cannabidiol	PPARG	5468	Drugbank	Experiment
Cannabidiol	GSR	2936	Drugbank	-
Cannabidiol	OPRD1	4985	Drugbank	-
Cannabidiol	GPR18	2841	Drugbank	-
Cannabidiol	CYP3A5	1577	Drugbank	-
Cannabidiol	GLRA3	8001	Drugbank	-
Cannabidiol	PCDHA6	56142	Drugbank	-
Cannabidiol	TRPA1	8989	Drugbank	-
Cannabidiol	TRPM8	79054	Drugbank	Experiment
Cannabidiol	TRPV3	162514	Drugbank	-
Cannabidiol	VDAC1	7416	Drugbank	Prediction
Cannabidiol	GLRB	2743	Drugbank	-
Cannabidiol	GLRA1	2741	Drugbank	-
Cannabidiol	CAT	847	Drugbank	Experiment
Cannabidiol	TRPV1	7442	Drugbank	-
Cannabidiol	GPX1	2876	Drugbank	-
Cannabidiol	CYP17A1	1586	Drugbank	-
Cannabidiol	PTGS2	5743	Drugbank	Experiment
Cannabidiol	TRPV2	51393	Drugbank	-
Cannabidiol	GPR55	9290	Drugbank	-
Cannabidiol	TRPV4	59341	Drugbank	-
Cannabidiol	CHRNA7	1139	Drugbank	-
Cannabidiol	HTR1A	3350	Drugbank	-
Cannabidiol	PCDHA4	56144	Drugbank	-
Cannabidiol	SOD1	6647	Drugbank	Prediction
Palbociclib	CDK6	1021	Drugbank	Experiment
Palbociclib	CDK4	1019	Drugbank	Experiment
Olaparib	PARP1	142	Drugbank	Experiment
Olaparib	PARP3	10039	Drugbank	Experiment
Olaparib	PARP2	10038	Drugbank	-
Quinagolide	DRD5	1816	Drugbank	-
Quinagolide	DRD1	1812	Drugbank	-
Quinagolide	DRD2	1813	Drugbank	-
Chorionic Gonadotropin (Human)	LHCGR	3973	Drugbank	-
Osimertinib	EGFR	1956	Drugbank	Experiment
Glycerin	ADH1B	125	Drugbank	-
Glycerin	NAGA	4668	Drugbank	-
Glycerin	ITPR1	3708	Drugbank	Prediction
Glycerin	ISYNA1	51477	Drugbank	-
Glycerin	TRDMT1	1787	Drugbank	-
Glycerin	PLA2G2E	30814	Drugbank	-
Glycerin	ARF1	375	Drugbank	-
Glycerin	PAEP	5047	Drugbank	-
Glycerin	PPARD	5467	Drugbank	-
Glycerin	GSTZ1	2954	Drugbank	-
Glycerin	PAPSS1	9061	Drugbank	-
Vitamin D	GC	2638	Drugbank	-
Vitamin D	VDR	7421	Drugbank	-
Artenimol	CSRP1	1465	Drugbank	-
Artenimol	RPS28	6234	Drugbank	-
Artenimol	ZYX	7791	Drugbank	-
Artenimol	TAGLN	6876	Drugbank	-
Artenimol	RPS6	6194	Drugbank	-
Artenimol	RPL23A	6147	Drugbank	-
Artenimol	ALDOA	226	Drugbank	Experiment
Artenimol	HNRNPK	3190	Drugbank	-
Artenimol	TUBB6	84617	Drugbank	-
Artenimol	MDH1	4190	Drugbank	-
Artenimol	ANXA2	302	Drugbank	Experiment
Artenimol	ATP5PO	539	Drugbank	-
Artenimol	NPEPPS	9520	Drugbank	-
Artenimol	DDX39B	7919	Drugbank	-
Artenimol	GAPDHS	26330	Drugbank	-
Artenimol	VIM	7431	Drugbank	-
Artenimol	FBF1	85302	Drugbank	-
Artenimol	RPS19	6223	Drugbank	-
Artenimol	TAGLN2	8407	Drugbank	Experiment
Artenimol	HSPB1	3315	Drugbank	Experiment
Artenimol	ATP5F1A	498	Drugbank	-
Artenimol	FLNA	2316	Drugbank	Prediction
Artenimol	SFPQ	6421	Drugbank	-
Artenimol	PKM	5315	Drugbank	Experiment
Artenimol	PGK1	5230	Drugbank	Experiment
Artenimol	KHSRP	8570	Drugbank	-
Artenimol	POLR1G	10849	Drugbank	-
Artenimol	FTO	79068	Drugbank	-
Artenimol	TPM1	7168	Drugbank	Experiment
Artenimol	MYH9	4627	Drugbank	-
Artenimol	LGALS1	3956	Drugbank	Prediction
Artenimol	EEF1A1	1915	Drugbank	-
Artenimol	RPL15	6138	Drugbank	-
Artenimol	G6PD	2539	Drugbank	-
Artenimol	GAPDH	2597	Drugbank	-
Artenimol	RPL18	6141	Drugbank	-
Artenimol	HSPA8	3312	Drugbank	-
Artenimol	DPYSL2	1808	Drugbank	-
Artenimol	SRSF4	6429	Drugbank	-
Artenimol	SF1	7536	Drugbank	-
Artenimol	SHMT2	6472	Drugbank	-
Artenimol	P4HB	5034	Drugbank	-
Artenimol	HNRNPA2B1	3181	Drugbank	-
Artenimol	PGAM4	441531	Drugbank	-
Artenimol	TPI1	7167	Drugbank	-
Artenimol	CCT3	7203	Drugbank	-
Artenimol	LDHA	3939	Drugbank	Experiment
Artenimol	RPS17	6218	Drugbank	-
Artenimol	DDX5	1655	Drugbank	-
Artenimol	RPS18	6222	Drugbank	-
Artenimol	PRDX1	5052	Drugbank	Experiment
Artenimol	GPI	2821	Drugbank	-
Artenimol	CFL1	1072	Drugbank	Experiment
Artenimol	NPM1	4869	Drugbank	Experiment
Artenimol	MAP4	4134	Drugbank	-
Artenimol	RPS13	6207	Drugbank	-
Artenimol	HNRNPD	3184	Drugbank	-
Artenimol	CLIC1	1192	Drugbank	Experiment
Artenimol	LDHB	3945	Drugbank	Prediction
Artenimol	RPL14	9045	Drugbank	-
Artenimol	SRP14	6727	Drugbank	-
Artenimol	TUBA1A	7846	Drugbank	-
Artenimol	ENO1	2023	Drugbank	-
Artenimol	CYCS	54205	Drugbank	-
Artenimol	PPIA	5478	Drugbank	Experiment
Artenimol	DSP	1832	Drugbank	-
Artenimol	HP1BP3	50809	Drugbank	-
Artenimol	TUBB4A	10382	Drugbank	-
Artenimol	IQGAP1	8826	Drugbank	-
Artenimol	RPS5	6193	Drugbank	-
Artenimol	RPS9	6203	Drugbank	-
Artenimol	RPS8	6202	Drugbank	-
Artenimol	RPL4	6124	Drugbank	-
Artenimol	ATP5MG	10632	Drugbank	-
Artenimol	RPL35	11224	Drugbank	-
Artenimol	SNRPD2	6633	Drugbank	-
Artenimol	ALDH7A1	501	Drugbank	-
Artenimol	TUBB2A	7280	Drugbank	Prediction
Artenimol	ACTG1	71	Drugbank	-
Artenimol	PFN1	5216	Drugbank	Experiment
Curcumin	CBR1	873	Drugbank	Experiment
Curcumin	GSTP1	2950	Drugbank	Experiment
Curcumin	VDR	7421	Drugbank	-
Curcumin	PPARG	5468	Drugbank	Experiment
Curcumin	ABCC5	10057	Drugbank	-
Equol	ESR2	2100	Drugbank	-
Equol	SHBG	6462	Drugbank	-
Selumetinib	MAP2K2	5605	Drugbank	Experiment
Selumetinib	MAP2K1	5604	Drugbank	Experiment
Ribociclib	CDK6	1021	Drugbank	Experiment
Ribociclib	CDK4	1019	Drugbank	Experiment
Icotinib	EGFR	1956	Drugbank	Experiment
Talazoparib	PARP1	142	Drugbank	Experiment
Talazoparib	PARP2	10038	Drugbank	-
Tosedostat	NPEPPS	9520	Drugbank	-
Tosedostat	LTA4H	4048	Drugbank	-
Niraparib	PARP1	142	Drugbank	Experiment
Niraparib	PARP2	10038	Drugbank	-
Apalutamide	GABRQ	55879	Drugbank	-
Apalutamide	GABRA6	2559	Drugbank	-
Apalutamide	GABRG2	2566	Drugbank	-
Apalutamide	GABRB1	2560	Drugbank	-
Apalutamide	GABRP	2568	Drugbank	-
Apalutamide	GABRD	2563	Drugbank	-
Apalutamide	GABRA4	2557	Drugbank	-
Apalutamide	GABRB2	2561	Drugbank	-
Apalutamide	GABRG1	2565	Drugbank	-
Apalutamide	AR	367	Drugbank	Experiment
Apalutamide	GABRA1	2554	Drugbank	-
Apalutamide	GABRB3	2562	Drugbank	-
Apalutamide	GABRA2	2555	Drugbank	-
Apalutamide	GABRA3	2556	Drugbank	-
Apalutamide	GABRG3	2567	Drugbank	-
Apalutamide	GABRA5	2558	Drugbank	-
Apalutamide	GABRE	2564	Drugbank	-
Selinexor	XPO1	7514	Drugbank	Experiment
Abemaciclib	CDK6	1021	Drugbank	Experiment
Abemaciclib	CDK4	1019	Drugbank	Experiment
Alpelisib	PIK3CA	5290	Drugbank	Experiment
Epigallocatechin gallate	AHR	196	Drugbank	-
Epigallocatechin gallate	DNMT1	1786	Drugbank	Experiment
Epigallocatechin gallate	DHFR2	200895	Drugbank	-
Erdafitinib	FGFR2	2263	Drugbank	Experiment
Erdafitinib	CSF1R	1436	Drugbank	-
Erdafitinib	RET	5979	Drugbank	-
Erdafitinib	PDGFRA	5156	Drugbank	-
Erdafitinib	PDGFRB	5159	Drugbank	Experiment
Erdafitinib	KDR	3791	Drugbank	Experiment
Erdafitinib	KIT	3815	Drugbank	-
Erdafitinib	FGFR4	2264	Drugbank	-
Erdafitinib	FGFR3	2261	Drugbank	Experiment
Erdafitinib	FGFR1	2260	Drugbank	Experiment
Foretinib	SOS1	6654	Drugbank	Experiment
Foretinib	KDR	3791	Drugbank	Experiment
Rucaparib	PARP1	142	Drugbank	Experiment
Rucaparib	PARP3	10039	Drugbank	Experiment
Rucaparib	PARP2	10038	Drugbank	-
Navitoclax	BCL2	596	Drugbank	Experiment
Navitoclax	BCL2L2	599	Drugbank	-
Navitoclax	BAD	572	Drugbank	-
Alvespimycin	HSP90AA1	3320	Drugbank	Experiment
Abexinostat	HDAC1	3065	Drugbank	Experiment
Piperine	NR1I2	8856	Drugbank	-
Amuvatinib	RAD51	5888	Drugbank	Experiment
Amuvatinib	PDGFRA	5156	Drugbank	-
Amuvatinib	KIT	3815	Drugbank	-
Amuvatinib	MET	4233	Drugbank	Experiment
Amuvatinib	FLT3	2322	Drugbank	Experiment
Amuvatinib	RET	5979	Drugbank	-
Hypericin	GSTP1	2950	Drugbank	Experiment
Hypericin	GSTA1	2938	Drugbank	-
SC-236	NFKB2	4791	Drugbank	-
SC-236	NFKB1	4790	Drugbank	Experiment
SC-236	RELA	5970	Drugbank	Experiment
Tetrandrine	ABCB1	5243	Drugbank	Experiment
Ceralasertib	SERPINA2	390502	Drugbank	Experiment
Tepotinib	MET	4233	Drugbank	Experiment
Tepotinib	NISCH	11188	Drugbank	-
Tepotinib	MTNR1B	4544	Drugbank	-
