miRNA,Target gene,Gene id,PMID,Source,RadiationDB_target gene_annotation
hsa-miR-137,MYO1C,4641,27468717,miRTarBase,-
hsa-miR-137,MSI1,4440,25940441,miRTarBase,Experiment
hsa-miR-137,CXCL12,6387,26847706,miRTarBase,-
hsa-miR-137,KDM5B,10765,26621457//26461474,miRTarBase,Experiment
hsa-miR-137,SLC6A3,6531,27628529,miRTarBase,-
hsa-miR-137,DCLK1,9201,26747706,miRTarBase,Experiment
hsa-miR-137,RASGRF1,5923,26440052,miRTarBase,-
hsa-miR-137,EGFR,1956,28386374,miRTarBase,Experiment
hsa-miR-137,CALN1,83698,26163462,miRTarBase,-
hsa-miR-137,KDM2A,22992,26461474,miRTarBase,-
hsa-miR-137,KDM4A,9682,26461474,miRTarBase,-
hsa-miR-137,KDM7A,80853,26461474,miRTarBase,-
hsa-miR-137,MED1,5469,26461474,miRTarBase,-
hsa-miR-137,PAK2,5062,26186482,miRTarBase,Prediction
hsa-miR-137,PRKAA1,5562,27497953,miRTarBase,-
hsa-miR-137,SP1,6667,26832795,miRTarBase,Experiment
hsa-miR-138-1-3p,PDK1,5163,26084420,miRTarBase,-
hsa-miR-138-1-3p,HIF1A,3091,27284341,miRTarBase,Experiment
hsa-miR-138-1-3p,ZEB2,9839,26646296,miRTarBase,Experiment
hsa-miR-138-5p,ROCK2,9475,20232393,miRTarBase,Experiment
hsa-miR-138-5p,RHOC,389,20232393//23007504,miRTarBase,Experiment
hsa-miR-138-5p,TERT,7015,18201269,miRTarBase,Experiment
hsa-miR-138-5p,EID1,23741,20486779,miRTarBase,-
hsa-miR-138-5p,GNAI2,2771,21079996,miRTarBase,-
hsa-miR-138-5p,FOSL1,8061,21969367,miRTarBase,Experiment
hsa-miR-138-5p,SIRT1,23411,22228303//28052003//28236278//27207584,miRTarBase,Experiment
hsa-miR-138-5p,CCND3,896,22362728//23208504//26823826,miRTarBase,-
hsa-miR-138-5p,PTK2,5747,21444814,miRTarBase,Experiment
hsa-miR-138-5p,H2AX,3014,21693595,miRTarBase,Experiment
hsa-miR-138-5p,HIF1A,3091,21875287//23389731,miRTarBase,Experiment
hsa-miR-138-5p,CASP3,836,22921398,miRTarBase,Experiment
hsa-miR-138-5p,BLCAP,10904,22921398,miRTarBase,-
hsa-miR-138-5p,MXD1,4084,22921398,miRTarBase,-
hsa-miR-138-5p,RELN,5649,23438760,miRTarBase,-
hsa-miR-138-5p,EZH2,2146,23343715//21770894//23707559//25339353//27019355//27266699,miRTarBase,Experiment
hsa-miR-138-5p,SOX4,6659,23389731,miRTarBase,-
hsa-miR-138-5p,CDH1,999,21770894,miRTarBase,Experiment
hsa-miR-138-5p,SNAI2,6591,21770894,miRTarBase,Experiment
hsa-miR-138-5p,SUZ12,23512,21770894,miRTarBase,-
hsa-miR-138-5p,ZEB2,9839,21770894,miRTarBase,Experiment
hsa-miR-138-5p,VIM,7431,21770894//22766839//26796277,miRTarBase,-
hsa-miR-138-5p,RARA,5914,25680531,miRTarBase,-
hsa-miR-138-5p,S100A1,6271,24244340,miRTarBase,-
hsa-miR-138-5p,CCND1,595,22739938,miRTarBase,Experiment
hsa-miR-138-5p,SENP1,29843,24691972,miRTarBase,Experiment
hsa-miR-138-5p,ADGRA2,25960,24582749,miRTarBase,-
hsa-miR-138-5p,RMND5A,64795,24057215,miRTarBase,-
hsa-miR-138-5p,EIF4EBP1,1978,26891291//28075468,miRTarBase,Experiment
hsa-miR-138-5p,TWIST2,117581,24171926,miRTarBase,-
hsa-miR-138-5p,MAP3K11,4296,24211202,miRTarBase,-
hsa-miR-138-5p,LCN2,3934,23300839,miRTarBase,Experiment
hsa-miR-138-5p,FERMT2,10979,26474967,miRTarBase,-
hsa-miR-138-5p,FOXC1,2296,27799147,miRTarBase,-
hsa-miR-138-5p,BCL11A,53335,28303002,miRTarBase,Experiment
hsa-miR-138-5p,CD274,29126,27248318,miRTarBase,Experiment
hsa-miR-138-5p,NFKB1,4790,26823826,miRTarBase,Experiment
hsa-miR-138-5p,AKT1,207,28122142,miRTarBase,Experiment
hsa-miR-138-5p,SOX9,6662,27347323,miRTarBase,-
hsa-miR-138-5p,KDM5C,8242,26621457,miRTarBase,-
hsa-miR-138-5p,YAP1,10413,26239136,miRTarBase,Experiment
hsa-miR-138-5p,CYTOR,112597,28077595,miRTarBase,Experiment
hsa-miR-138-5p,BAG1,573,25962180,miRTarBase,-
hsa-miR-139-5p,IGF1R,3480,22580051//24942287//26097570,miRTarBase,Experiment
hsa-miR-139-5p,FOS,2353,23001723//27668889,miRTarBase,Prediction
hsa-miR-139-5p,MCL1,4170,23557151//23551751,miRTarBase,Experiment
hsa-miR-139-5p,CXCR4,7852,21925125//24318902,miRTarBase,Experiment
hsa-miR-139-5p,JUN,3725,25499265,miRTarBase,Experiment
hsa-miR-139-5p,NR5A2,2494,24204738,miRTarBase,-
hsa-miR-139-5p,NOTCH1,4851,24885920//27738333//26299922,miRTarBase,Experiment
hsa-miR-139-5p,RAP1B,5908,24942287,miRTarBase,-
hsa-miR-139-5p,ROCK2,9475,24942287,miRTarBase,Experiment
hsa-miR-139-5p,FAM162A,26355,24333693,miRTarBase,-
hsa-miR-139-5p,RHOT1,55288,24158791,miRTarBase,-
hsa-miR-139-5p,ZHX2,22882,24158791,miRTarBase,-
hsa-miR-139-5p,PIK3CA,5290,24158791,miRTarBase,Experiment
hsa-miR-139-5p,NFKB1,4790,24158791,miRTarBase,Experiment
hsa-miR-139-5p,HRAS,3265,24158791,miRTarBase,Prediction
hsa-miR-139-5p,OIP5,11339,27916718,miRTarBase,-
hsa-miR-139-5p,ACTC1,70,27139165,miRTarBase,-
hsa-miR-139-5p,ADGRL4,64123,26449464,miRTarBase,-
hsa-miR-139-5p,SMARCA4,6597,27605510,miRTarBase,-
hsa-miR-139-5p,TPD52,7163,27785063,miRTarBase,Experiment
hsa-miR-139-5p,MET,4233,26497851,miRTarBase,Experiment
hsa-miR-139-5p,BCL2,596,27244080,miRTarBase,Experiment
hsa-miR-139-5p,PDE4D,5144,27383270,miRTarBase,-
hsa-miR-139-5p,WNT1,7471,25529604,miRTarBase,Experiment
hsa-miR-139-5p,MMP11,4320,27355528,miRTarBase,Prediction
hsa-miR-1-3p,CEBPA,1050,18818206,miRTarBase,-
hsa-miR-1-3p,MEF2A,4205,19188439,miRTarBase,-
hsa-miR-1-3p,GATA4,2626,19188439,miRTarBase,-
hsa-miR-1-3p,HCN4,10021,18458081,miRTarBase,-
hsa-miR-1-3p,HDAC4,9759,18818206//18593903//24858276,miRTarBase,Experiment
hsa-miR-1-3p,FOXP1,27086,18818206//18593903,miRTarBase,Experiment
hsa-miR-1-3p,HCN2,610,19136465//18458081,miRTarBase,-
hsa-miR-1-3p,PTMA,5757,22210864//22059741,miRTarBase,Experiment
hsa-miR-1-3p,PTBP1,5725,26980745,miRTarBase,-
hsa-miR-1-3p,MET,4233,19710019//18818206//18593903//25874496//27247259,miRTarBase,Experiment
hsa-miR-1-3p,CAND1,55832,15685193,miRTarBase,-
hsa-miR-1-3p,ANXA2,302,24310399,miRTarBase,Experiment
hsa-miR-1-3p,HAND2,9464,15951802,miRTarBase,-
hsa-miR-1-3p,IGF1,3479,26166810,miRTarBase,Experiment
hsa-miR-1-3p,TMSB4X,7114,15951802,miRTarBase,-
hsa-miR-1-3p,KCNJ2,3759,17401374//19775284//28112313,miRTarBase,-
hsa-miR-1-3p,GJA1,2697,17401374//23352489//17062625//23922949//28112313,miRTarBase,-
hsa-miR-1-3p,XPO6,23214,22210864,miRTarBase,-
hsa-miR-1-3p,POGK,57645,15685193,miRTarBase,-
hsa-miR-1-3p,TAGLN2,8407,20144220//21304530//21745735//21701775//26414725,miRTarBase,Experiment
hsa-miR-1-3p,LASP1,3927,20843712//22210864//26414725,miRTarBase,-
hsa-miR-1-3p,ADAR,103,15685193,miRTarBase,-
hsa-miR-1-3p,KCNE1,3753,17443681,miRTarBase,-
hsa-miR-1-3p,BDNF,627,14697198,miRTarBase,-
hsa-miR-1-3p,G6PD,2539,14697198//23921124//27861141,miRTarBase,-
hsa-miR-1-3p,SOX6,55553,20081117,miRTarBase,-
hsa-miR-1-3p,ATP6V1B2,526,20144220,miRTarBase,-
hsa-miR-1-3p,LARP4,113251,20144220,miRTarBase,-
hsa-miR-1-3p,CNN3,1266,20144220,miRTarBase,-
hsa-miR-1-3p,PNP,4860,22068816//21701775,miRTarBase,-
hsa-miR-1-3p,KIF2A,3796,15685193,miRTarBase,Experiment
hsa-miR-1-3p,HSPD1,3329,17715156//23226300,miRTarBase,-
hsa-miR-1-3p,HSPA4,3308,17715156,miRTarBase,Prediction
hsa-miR-1-3p,PIM1,5292,18818206//21051663//26820394,miRTarBase,Experiment
hsa-miR-1-3p,CALM3,808,19188439,miRTarBase,-
hsa-miR-1-3p,PPP2R5A,5525,19131648,miRTarBase,-
hsa-miR-1-3p,PAX3,5077,20956382,miRTarBase,-
hsa-miR-1-3p,TWF1,5756,20571053,miRTarBase,Prediction
hsa-miR-1-3p,FN1,2335,21924268//22210864,miRTarBase,Experiment
hsa-miR-1-3p,NOTCH3,4854,22210864//23055528//24244701,miRTarBase,-
hsa-miR-1-3p,SLC8A1,6546,22362515,miRTarBase,-
hsa-miR-1-3p,EDN1,1906,22963810//25394359//28042875//28493075,miRTarBase,-
hsa-miR-1-3p,PRKCE,5581,23226300,miRTarBase,Experiment
hsa-miR-1-3p,FABP3,2170,23141496,miRTarBase,-
hsa-miR-1-3p,SNAI2,6591,23142026//24760686,miRTarBase,Experiment
hsa-miR-1-3p,SOX9,6662,23352489,miRTarBase,-
hsa-miR-1-3p,PGD,5226,23921124,miRTarBase,-
hsa-miR-1-3p,IL11,3589,28186993,miRTarBase,Experiment
hsa-miR-1-3p,YWHAZ,7534,24310399,miRTarBase,Experiment
hsa-miR-1-3p,CCND1,595,27247259,miRTarBase,Experiment
hsa-miR-1-3p,TKT,7086,23921124,miRTarBase,-
hsa-miR-1-3p,CCL2,6347,27541266,miRTarBase,-
hsa-miR-1-3p,CDK4,1019,28159933//27247259,miRTarBase,Experiment
hsa-miR-1-3p,SP1,6667,22911796,miRTarBase,Experiment
hsa-miR-1-3p,ETS1,2113,22664953,miRTarBase,-
hsa-miR-1-3p,FASN,2194,24310399,miRTarBase,Experiment
hsa-miR-1-3p,PIK3CA,5290,24486107,miRTarBase,Experiment
hsa-miR-1-3p,TH,7054,25512392,miRTarBase,-
hsa-miR-1-3p,MPL,4352,24043765,miRTarBase,-
hsa-miR-1-3p,API5,8539,25433291,miRTarBase,Experiment
hsa-miR-1-3p,SPRED1,161742,23625462,miRTarBase,-
hsa-miR-1-3p,ASPH,444,23723006,miRTarBase,-
hsa-miR-1-3p,MT-ND1,4535,25083871,miRTarBase,-
hsa-miR-1-3p,MT-CO1,4512,25083871,miRTarBase,Experiment
hsa-miR-1-3p,FRS2,10818,23939491,miRTarBase,-
hsa-miR-1-3p,FZD7,8324,23939491//26497855,miRTarBase,-
hsa-miR-1-3p,AGO1,26523,23276603,miRTarBase,-
hsa-miR-1-3p,KRAS,3845,26852690//26275461,miRTarBase,Experiment
hsa-miR-1-3p,NAIP,4671,26459459,miRTarBase,-
hsa-miR-1-3p,VEGFA,7422,27777493//28493075//27541266,miRTarBase,Experiment
hsa-miR-1-3p,RARB,5915,26332998,miRTarBase,-
hsa-miR-1-3p,BAG4,9530,28042875,miRTarBase,-
hsa-miR-1-3p,ABCB1,5243,28042875,miRTarBase,Experiment
hsa-miR-1-3p,TWIST1,7291,26071255,miRTarBase,Experiment
hsa-miR-1-3p,TNKS2,80351,26497855,miRTarBase,-
hsa-miR-1-3p,CXCL12,6387,27035564,miRTarBase,-
hsa-miR-142-3p,RAC1,5879,21482222//24743945,miRTarBase,Experiment
hsa-miR-142-3p,ARNTL,406,21799909//22958478//24928439,miRTarBase,-
hsa-miR-142-3p,TGFBR1,7046,24558198//28146434,miRTarBase,-
hsa-miR-142-3p,BOD1,91272,27527863,miRTarBase,-
hsa-miR-142-3p,PROM1,8842,21394831//23619912,miRTarBase,Prediction
hsa-miR-142-3p,ROCK2,9475,24743945,miRTarBase,Experiment
hsa-miR-142-3p,CCNT2,905,22493297,miRTarBase,-
hsa-miR-142-3p,TAB2,23118,22493297,miRTarBase,-
hsa-miR-142-3p,HMGA1,3159,24803022,miRTarBase,Experiment
hsa-miR-142-3p,PTPN23,25930,23843459,miRTarBase,-
hsa-miR-142-3p,EGR2,1959,23602969,miRTarBase,-
hsa-miR-142-3p,IL1A,3552,22870299,miRTarBase,-
hsa-miR-142-3p,HSPA1B,3304,23635652,miRTarBase,-
hsa-miR-142-3p,APC,324,23229013,miRTarBase,-
hsa-miR-142-3p,LPP,4026,24361879,miRTarBase,-
hsa-miR-142-3p,ABCG2,9429,23619912,miRTarBase,Prediction
hsa-miR-142-3p,LGR5,8549,23619912,miRTarBase,-
hsa-miR-142-3p,HOXA10,3206,24057258,miRTarBase,Experiment
hsa-miR-142-3p,HOXA7,3204,24057258,miRTarBase,-
hsa-miR-142-3p,HOXA9,3205,24057258,miRTarBase,-
hsa-miR-142-3p,LRRC32,2615,23650616,miRTarBase,-
hsa-miR-142-3p,HMGB1,3146,26617792//26721185,miRTarBase,Experiment
hsa-miR-142-3p,DOCK6,57572,25832008,miRTarBase,-
hsa-miR-142-3p,PRKCA,5578,27113904,miRTarBase,Experiment
hsa-miR-142-3p,THBS4,7060,28177895,miRTarBase,-
hsa-miR-143-3p,KRAS,3845,19157460//19137007//23276710//23128394,miRTarBase,Experiment
hsa-miR-143-3p,MYO6,4646,20353999//19843160,miRTarBase,-
hsa-miR-143-3p,DNMT3A,1788,19638978//24218337,miRTarBase,-
hsa-miR-143-3p,FNDC3B,64778,19472311,miRTarBase,-
hsa-miR-143-3p,MAPK7,5598,17504027//19464056//19855844//17892514//15504739//16966691//16969504//21901135//23276710//19843160//22374674//25477374,miRTarBase,Experiment
hsa-miR-143-3p,HRAS,3265,21276449//25477374,miRTarBase,Prediction
hsa-miR-143-3p,FSCN1,6624,22457808,miRTarBase,Experiment
hsa-miR-143-3p,HK2,3099,22354042//22691140//22593586//23376635//24033605,miRTarBase,Experiment
hsa-miR-143-3p,SERPINE1,5054,22108519//26817521,miRTarBase,Experiment
hsa-miR-143-3p,FHIT,2272,21711110,miRTarBase,Experiment
hsa-miR-143-3p,MACC1,346389,22533346,miRTarBase,-
hsa-miR-143-3p,PTGS2,5743,21790228//24105952,miRTarBase,Experiment
hsa-miR-143-3p,AKT1,207,23104321,miRTarBase,Experiment
hsa-miR-143-3p,MDM2,4193,22330136,miRTarBase,Experiment
hsa-miR-143-3p,BCL2,596,23276710//19843160//22160209//25492481,miRTarBase,Experiment
hsa-miR-143-3p,MMP13,4322,21427707//23732700,miRTarBase,Prediction
hsa-miR-143-3p,SDC1,6382,24722758,miRTarBase,-
hsa-miR-143-3p,RREB1,6239,22751122,miRTarBase,-
hsa-miR-143-3p,CD44,960,23128394//27121210//26722463,miRTarBase,Experiment
hsa-miR-143-3p,KLF5,688,23128394,miRTarBase,-
hsa-miR-143-3p,BRAF,673,23128394,miRTarBase,Experiment
hsa-miR-143-3p,IGF1R,3480,25492481,miRTarBase,Experiment
hsa-miR-143-3p,GABARAPL1,23710,26349981,miRTarBase,-
hsa-miR-143-3p,TNF,7124,23804075,miRTarBase,Experiment
hsa-miR-143-3p,NR2C2,7182,24105952//28194669,miRTarBase,Experiment
hsa-miR-143-3p,IL13RA1,3597,23965966//27048505,miRTarBase,-
hsa-miR-143-3p,COL3A1,1281,24283360,miRTarBase,Prediction
hsa-miR-143-3p,DDX6,1656,23932921,miRTarBase,Prediction
hsa-miR-143-3p,LIMK1,3984,25003638,miRTarBase,-
hsa-miR-143-3p,HNF4A,3172,23298640,miRTarBase,-
hsa-miR-143-3p,CCN2,1490,27075467//27398154,miRTarBase,Prediction
hsa-miR-143-3p,NFATC1,4772,27639060,miRTarBase,Prediction
hsa-miR-143-3p,OSBPL8,114882,25596532,miRTarBase,-
hsa-miR-143-3p,CYP2C9,1559,25704921,miRTarBase,-
hsa-miR-143-3p,BAG3,9531,26541455,miRTarBase,-
hsa-miR-143-3p,DTNB,1838,27223470,miRTarBase,-
hsa-miR-143-3p,AKT2,208,28404925,miRTarBase,-
hsa-miR-143-3p,TLR2,7097,26722463,miRTarBase,-
hsa-miR-143-3p,MMP2,4313,26722463,miRTarBase,-
hsa-miR-143-3p,MMP9,4318,26722463,miRTarBase,Experiment
hsa-miR-143-3p,NFKB2,4791,26722463,miRTarBase,-
hsa-miR-143-3p,MMP14,4323,26722463,miRTarBase,-
hsa-miR-143-3p,ITGB1,3688,26722463,miRTarBase,Experiment
hsa-miR-143-3p,ITGB4,3691,26722463,miRTarBase,-
hsa-miR-143-3p,FAM83F,113828,26758433,miRTarBase,-
hsa-miR-144-3p,PLAG1,5324,19347935,miRTarBase,-
hsa-miR-144-3p,FGG,2266,20570858,miRTarBase,-
hsa-miR-144-3p,NOTCH1,4851,21285251//21929751,miRTarBase,Experiment
hsa-miR-144-3p,TGFB1,7040,21991303,miRTarBase,Experiment
hsa-miR-144-3p,MTOR,2475,22983984//26687302//27072960,miRTarBase,Experiment
hsa-miR-144-3p,PTEN,5728,23125220,miRTarBase,Experiment
hsa-miR-144-3p,NFE2L2,4780,23236440//27508019,miRTarBase,Experiment
hsa-miR-144-3p,CFTR,1080,23226399,miRTarBase,-
hsa-miR-144-3p,TTN,7273,24453045,miRTarBase,-
hsa-miR-144-3p,EZH2,2146,23815091,miRTarBase,Experiment
hsa-miR-144-3p,MET,4233,25927670//26250785,miRTarBase,Experiment
hsa-miR-144-3p,APP,351,27329039,miRTarBase,-
hsa-miR-144-3p,ETS1,2113,26826553,miRTarBase,-
hsa-miR-144-3p,SMAD4,4089,26918315,miRTarBase,Experiment
hsa-miR-144-3p,MAP3K8,1326,27717821,miRTarBase,Prediction
hsa-miR-144-3p,ZEB1,6935,27785072,miRTarBase,Experiment
hsa-miR-144-3p,ZEB2,9839,27785072,miRTarBase,Experiment
hsa-miR-144-3p,PTGS2,5743,26959737,miRTarBase,Experiment
hsa-miR-144-3p,Adamts1,11504,25151965,miRTarBase,-
hsa-miR-144-3p,TUG1,55000,27261864,miRTarBase,Experiment
hsa-miR-144-3p,XIST,7503,28059474,miRTarBase,Experiment
hsa-miR-144-3p,PBX3,5090,28111340,miRTarBase,Prediction
hsa-miR-144-3p,IRS1,3667,27069535,miRTarBase,-
hsa-miR-144-5p,RUNX1,861,26030000,miRTarBase,-
hsa-miR-144-5p,TGIF1,7050,25979625,miRTarBase,-
hsa-miR-144-5p,ROCK1,6093,26458302//25912304,miRTarBase,Experiment
hsa-miR-144-5p,ROCK2,9475,25912304,miRTarBase,Experiment
hsa-miR-144-5p,MET,4233,25961751,miRTarBase,Experiment
hsa-miR-144-5p,CCNE1,898,26057453,miRTarBase,-
hsa-miR-144-5p,CCNE2,9134,26057453,miRTarBase,-
hsa-miR-144-5p,SMAD4,4089,27536132,miRTarBase,Experiment
hsa-miR-145-5p,BNIP3,664,20332243,miRTarBase,Prediction
hsa-miR-145-5p,KLF5,688,23128394//25273883,miRTarBase,-
hsa-miR-145-5p,SOX2,6657,19409607//23541921//26681767//25928322,miRTarBase,Experiment
hsa-miR-145-5p,KLF4,9314,19409607//25273883//28380435//26197891//26181633,miRTarBase,Prediction
hsa-miR-145-5p,MUC1,4582,20407606//19996288//24157791//25961369,miRTarBase,Experiment
hsa-miR-145-5p,MYO6,4646,20353999,miRTarBase,-
hsa-miR-145-5p,CDKN1A,1026,26540468,miRTarBase,Experiment
hsa-miR-145-5p,STAT1,6772,20098684,miRTarBase,Experiment
hsa-miR-145-5p,YES1,7525,20098684//21351259,miRTarBase,-
hsa-miR-145-5p,CBFB,865,19915607,miRTarBase,-
hsa-miR-145-5p,PPP3CA,5530,19915607,miRTarBase,-
hsa-miR-145-5p,CLINT1,9685,19915607,miRTarBase,-
hsa-miR-145-5p,IRS1,3667,17827156//19391107//22431718//23201159//24690171//23714355//25477374,miRTarBase,-
hsa-miR-145-5p,PARP8,79668,15131085,miRTarBase,-
hsa-miR-145-5p,EGFR,1956,21289483,miRTarBase,Experiment
hsa-miR-145-5p,FSCN1,6624,20160723//21351259//21258769//26010149//24642628//26173501//26309531//26647829//25816323//27508031,miRTarBase,Experiment
hsa-miR-145-5p,MYC,4609,19202062//21092188//23710609//26540468//26354756,miRTarBase,Experiment
hsa-miR-145-5p,FLI1,2313,20382729//20737575//21217773//27304058,miRTarBase,Experiment
hsa-miR-145-5p,DFFA,1676,20687965,miRTarBase,-
hsa-miR-145-5p,IFNB1,3456,20130213,miRTarBase,-
hsa-miR-145-5p,TIRAP,114609,19898489,miRTarBase,-
hsa-miR-145-5p,POU5F1,5460,19409607//21496429//23541921//22378186//23049906//24240684//23615404//25634023,miRTarBase,Experiment
hsa-miR-145-5p,IGF1R,3480,19391107//25077964//24999188//25609710,miRTarBase,Experiment
hsa-miR-145-5p,ROBO2,6092,21276775,miRTarBase,-
hsa-miR-145-5p,SRGAP1,57522,21276775//26026080,miRTarBase,Prediction
hsa-miR-145-5p,EIF4E,1977,21092188,miRTarBase,Experiment
hsa-miR-145-5p,CDK4,1019,21092188,miRTarBase,Experiment
hsa-miR-145-5p,VEGFA,7422,22472569//22592534//24886719,miRTarBase,Experiment
hsa-miR-145-5p,SERPINE1,5054,22108519,miRTarBase,Experiment
hsa-miR-145-5p,IRS2,8660,22431718,miRTarBase,-
hsa-miR-145-5p,ITGB8,3696,21701675,miRTarBase,-
hsa-miR-145-5p,SWAP70,23075,21360565//21351259,miRTarBase,-
hsa-miR-145-5p,ESR1,2099,19730444,miRTarBase,Experiment
hsa-miR-145-5p,NUDT1,4521,21289483,miRTarBase,-
hsa-miR-145-5p,NEDD9,4739,22869051//23355420//24384875,miRTarBase,-
hsa-miR-145-5p,PAK4,10298,22766504,miRTarBase,Prediction
hsa-miR-145-5p,DDX17,10521,22876303,miRTarBase,-
hsa-miR-145-5p,ERG,2078,23480797//27572146,miRTarBase,Experiment
hsa-miR-145-5p,NRAS,4893,23201159//22592534//28332309,miRTarBase,-
hsa-miR-145-5p,ILK,3611,23104321,miRTarBase,Experiment
hsa-miR-145-5p,CCN2,1490,23390502,miRTarBase,Prediction
hsa-miR-145-5p,SOCS7,30837,23392170,miRTarBase,-
hsa-miR-145-5p,MDM2,4193,22330136,miRTarBase,Experiment
hsa-miR-145-5p,ADAM17,6868,23441135//23076445,miRTarBase,-
hsa-miR-145-5p,CDH2,1000,22370644,miRTarBase,-
hsa-miR-145-5p,HDAC2,3066,23499894,miRTarBase,Experiment
hsa-miR-145-5p,RTKN,6242,19360360,miRTarBase,-
hsa-miR-145-5p,F11R,50848,20818426//21351259,miRTarBase,Experiment
hsa-miR-145-5p,ARL6IP5,10550,21351259,miRTarBase,-
hsa-miR-145-5p,AKR1B10,57016,21351259,miRTarBase,Experiment
hsa-miR-145-5p,C11orf65,160140,21351259,miRTarBase,-
hsa-miR-145-5p,HLTF,6596,21351259,miRTarBase,Experiment
hsa-miR-145-5p,GMFB,2764,21351259,miRTarBase,-
hsa-miR-145-5p,SERINC5,256987,21351259,miRTarBase,-
hsa-miR-145-5p,MEST,4232,21351259,miRTarBase,-
hsa-miR-145-5p,ALPG,251,21351259,miRTarBase,-
hsa-miR-145-5p,NDRG2,57447,21351259,miRTarBase,Experiment
hsa-miR-145-5p,DTD1,92675,21351259,miRTarBase,-
hsa-miR-145-5p,TPM3,7170,21351259,miRTarBase,-
hsa-miR-145-5p,MAP2K6,5608,21351259,miRTarBase,Prediction
hsa-miR-145-5p,CEP19,84984,21351259,miRTarBase,-
hsa-miR-145-5p,TPRG1,285386,21351259,miRTarBase,-
hsa-miR-145-5p,GOLM1,51280,21351259,miRTarBase,-
hsa-miR-145-5p,CCDC43,124808,21351259,miRTarBase,-
hsa-miR-145-5p,MMP1,4312,21351259,miRTarBase,Prediction
hsa-miR-145-5p,PTP4A2,8073,21351259,miRTarBase,-
hsa-miR-145-5p,TMEM9B,56674,21351259,miRTarBase,-
hsa-miR-145-5p,MMP12,4321,21351259,miRTarBase,-
hsa-miR-145-5p,MTMR14,64419,21351259,miRTarBase,-
hsa-miR-145-5p,ALDH3A1,218,21351259,miRTarBase,-
hsa-miR-145-5p,NDUFA4,4697,21351259,miRTarBase,-
hsa-miR-145-5p,FAM3C,10447,21351259,miRTarBase,-
hsa-miR-145-5p,LYPLA2,11313,21351259,miRTarBase,-
hsa-miR-145-5p,DENND10,404636,21351259,miRTarBase,-
hsa-miR-145-5p,PIGF,5281,21351259,miRTarBase,-
hsa-miR-145-5p,AP1G1,164,21351259,miRTarBase,-
hsa-miR-145-5p,JADE1,79960,21351259,miRTarBase,-
hsa-miR-145-5p,NIPSNAP1,8508,21351259,miRTarBase,-
hsa-miR-145-5p,KREMEN1,83999,21351259,miRTarBase,-
hsa-miR-145-5p,MMP14,4323,21351259,miRTarBase,-
hsa-miR-145-5p,ABRACL,58527,21351259,miRTarBase,-
hsa-miR-145-5p,MIXL1,83881,21351259,miRTarBase,-
hsa-miR-145-5p,TSPAN6,7105,21351259,miRTarBase,-
hsa-miR-145-5p,PODXL,5420,21351259,miRTarBase,Experiment
hsa-miR-145-5p,APH1A,51107,21351259,miRTarBase,-
hsa-miR-145-5p,ABHD17C,58489,21351259,miRTarBase,-
hsa-miR-145-5p,NANOG,79923,23541921,miRTarBase,Experiment
hsa-miR-145-5p,MYO5A,4644,22895360,miRTarBase,-
hsa-miR-145-5p,EPAS1,2034,23222716,miRTarBase,Prediction
hsa-miR-145-5p,ETS1,2113,23233482,miRTarBase,-
hsa-miR-145-5p,RREB1,6239,22751122,miRTarBase,-
hsa-miR-145-5p,COL5A1,1289,23108408,miRTarBase,Prediction
hsa-miR-145-5p,CD44,960,23128394//28428713,miRTarBase,Experiment
hsa-miR-145-5p,BRAF,673,23128394,miRTarBase,Experiment
hsa-miR-145-5p,SOX9,6662,23814265//25145279,miRTarBase,-
hsa-miR-145-5p,SMAD3,4088,24873879//23632450,miRTarBase,Experiment
hsa-miR-145-5p,TGFBR2,7048,23986572//25323858//27388239,miRTarBase,-
hsa-miR-145-5p,CTNND1,1500,25470111,miRTarBase,-
hsa-miR-145-5p,SP1,6667,24613927//24510775,miRTarBase,Experiment
hsa-miR-145-5p,TNFSF13,8741,25612651,miRTarBase,-
hsa-miR-145-5p,CDK6,1021,24510775//25762621,miRTarBase,Experiment
hsa-miR-145-5p,DDX6,1656,23932921,miRTarBase,Prediction
hsa-miR-145-5p,ARF6,382,25253741,miRTarBase,-
hsa-miR-145-5p,ADD3,120,23814265,miRTarBase,-
hsa-miR-145-5p,HMGA2,8091,25444913,miRTarBase,-
hsa-miR-145-5p,DDC,1644,25445287,miRTarBase,-
hsa-miR-145-5p,ANGPT2,285,24384875,miRTarBase,-
hsa-miR-145-5p,ROCK1,6093,24573110,miRTarBase,Experiment
hsa-miR-145-5p,E2F3,1871,25762621,miRTarBase,-
hsa-miR-145-5p,RPS6KB1,6198,24157791,miRTarBase,Experiment
hsa-miR-145-5p,CD28,940,24043548,miRTarBase,-
hsa-miR-145-5p,NFATC1,4772,24043548,miRTarBase,Prediction
hsa-miR-145-5p,SP7,121340,23886710,miRTarBase,-
hsa-miR-145-5p,HDAC11,79885,23980205,miRTarBase,-
hsa-miR-145-5p,CFTR,1080,23436935,miRTarBase,-
hsa-miR-145-5p,ABCC1,4363,25354783,miRTarBase,-
hsa-miR-145-5p,SPTBN1,6711,25354783,miRTarBase,-
hsa-miR-145-5p,SENP1,29843,25645686,miRTarBase,Experiment
hsa-miR-145-5p,NAIP,4671,26459459,miRTarBase,-
hsa-miR-145-5p,SET,6418,25354783,miRTarBase,-
